pair,timeframe,direction,entry,exit,entry_time,exit_time,pips,pnl,lots,result,regime,confidence,capital
EUR_USD,M15,BUY,1.1880717277526855,1.1902602825845991,2026-02-09 12:30:00+00:00,2026-02-09 13:15:00+00:00,21.9,228.98,1.14,WIN,TREND,0.625,10228.98
EUR_USD,M15,BUY,1.1920371055603027,1.1910336400781358,2026-02-10 09:30:00+00:00,2026-02-10 11:15:00+00:00,-10.0,-120.71,1.02,LOSS,TREND,0.625,10108.26
EUR_USD,M15,BUY,1.1923214197158813,1.1913645224911826,2026-02-10 14:15:00+00:00,2026-02-10 14:45:00+00:00,-9.6,-120.51,1.06,LOSS,TREND,0.625,9987.75
EUR_USD,M15,BUY,1.1882128715515137,1.187352636030742,2026-02-12 08:15:00+00:00,2026-02-12 12:45:00+00:00,-8.6,-120.67,1.16,LOSS,STRONG_TREND,0.625,9867.08
EUR_USD,M15,BUY,1.186661958694458,1.185861958694458,2026-02-13 09:15:00+00:00,2026-02-13 10:15:00+00:00,-8.0,-120.54,1.23,LOSS,STRONG_TREND,0.625,9746.54
EUR_USD,M15,BUY,1.1849744319915771,1.1841744319915772,2026-02-17 09:30:00+00:00,2026-02-17 11:30:00+00:00,-8.0,-119.56,1.22,LOSS,TREND,0.625,9626.98
EUR_USD,M15,BUY,1.184413194656372,1.1836131946563722,2026-02-18 07:00:00+00:00,2026-02-18 08:00:00+00:00,-8.0,-117.6,1.2,LOSS,TREND,0.625,9509.38
EUR_USD,M15,BUY,1.1796625852584839,1.178862585258484,2026-02-19 07:00:00+00:00,2026-02-19 11:15:00+00:00,-8.0,-116.62,1.19,LOSS,TREND,0.625,9392.76
EUR_USD,M15,BUY,1.1791062355041504,1.1783062355041505,2026-02-24 08:30:00+00:00,2026-02-24 11:45:00+00:00,-8.0,-114.66,1.17,LOSS,TREND,0.625,9278.1
EUR_USD,M15,BUY,1.1791062355041504,1.1781548815114158,2026-02-24 16:30:00+00:00,2026-02-24 18:45:00+00:00,-9.5,-110.87,0.98,LOSS,TREND,0.625,9167.23
EUR_USD,M15,BUY,1.1798018217086792,1.182146966457367,2026-02-25 15:30:00+00:00,2026-02-26 00:30:00+00:00,23.5,212.18,0.98,WIN,TREND,0.625,9379.41
EUR_USD,M15,BUY,1.1816140413284302,1.1808140413284303,2026-02-26 13:15:00+00:00,2026-02-26 13:30:00+00:00,-8.0,-114.66,1.17,LOSS,STRONG_TREND,0.625,9264.75
EUR_USD,M15,BUY,1.1807769536972046,1.1799769536972047,2026-02-26 13:30:00+00:00,2026-02-26 15:15:00+00:00,-8.0,-113.68,1.16,LOSS,STRONG_TREND,0.625,9151.07
EUR_USD,M15,BUY,1.1818934679031372,1.1810934679031373,2026-02-27 08:00:00+00:00,2026-02-27 09:00:00+00:00,-8.0,-111.72,1.14,LOSS,TREND,0.625,9039.35
EUR_USD,M15,BUY,1.1806375980377197,1.1798375980377198,2026-02-27 12:45:00+00:00,2026-02-27 13:30:00+00:00,-8.0,-110.74,1.13,LOSS,TREND,0.625,8928.61
EUR_USD,M15,BUY,1.1800801753997803,1.1823571473360062,2026-02-27 14:45:00+00:00,2026-02-27 16:15:00+00:00,22.8,205.5,0.98,WIN,TREND,0.625,9134.12
EUR_USD,M15,BUY,1.163873314857483,1.1623195111751556,2026-03-04 14:15:00+00:00,2026-03-04 15:00:00+00:00,-15.5,-102.29,0.59,LOSS,TREND,0.625,9031.82
EUR_USD,M15,BUY,1.1648223400115967,1.1634721670831953,2026-03-10 15:15:00+00:00,2026-03-10 18:00:00+00:00,-13.5,-102.52,0.67,LOSS,TREND,0.625,8929.3
EUR_USD,M15,BUY,1.1560693979263306,1.1552693979263307,2026-03-12 10:00:00+00:00,2026-03-12 10:15:00+00:00,-8.0,-109.76,1.12,LOSS,TREND,0.625,8819.54
EUR_USD,M15,BUY,1.1528706550598145,1.1515754163265228,2026-03-12 17:30:00+00:00,2026-03-12 18:30:00+00:00,-13.0,-100.32,0.68,LOSS,TREND,0.625,8719.23
EUR_USD,M15,BUY,1.154334545135498,1.1533508258206504,2026-03-18 10:45:00+00:00,2026-03-18 12:15:00+00:00,-9.8,-103.57,0.89,LOSS,TREND,0.625,8615.65
EUR_USD,M15,BUY,1.1575413942337036,1.1567413942337037,2026-03-20 07:15:00+00:00,2026-03-20 09:00:00+00:00,-8.0,-105.84,1.08,LOSS,STRONG_TREND,0.625,8509.81
EUR_USD,M15,BUY,1.15968918800354,1.1585221460887365,2026-03-24 11:15:00+00:00,2026-03-24 11:45:00+00:00,-11.7,-98.33,0.73,LOSS,TREND,0.625,8411.48
EUR_USD,M15,BUY,1.1592857837677002,1.158162270273481,2026-03-24 11:45:00+00:00,2026-03-24 13:00:00+00:00,-11.2,-97.76,0.75,LOSS,RANGING,0.625,8313.72
EUR_USD,M15,BUY,1.1592857837677002,1.1577460042067937,2026-03-24 15:30:00+00:00,2026-03-24 17:00:00+00:00,-15.4,-92.87,0.54,LOSS,TREND,0.625,8220.85
EUR_USD,M15,BUY,1.1471836566925049,1.146383656692505,2026-03-31 08:00:00+00:00,2026-03-31 10:45:00+00:00,-8.0,-100.94,1.03,LOSS,STRONG_TREND,0.625,8119.91
